sorting_algorithm, array_size, run_time, num_of_process
mpi quick, 1000, 0.000112, 1
serial quick, 1000, 0.000097, 1
mpi merge, 1000, 0.000201, 1
serial merge, 1000, 0.000183, 1
mpi enum, 1000, 0.003728, 1
serial enum, 1000, 0.003967, 1
mpi quick, 1000, 0.000149, 3
serial quick, 1000, 0.000098, 3
mpi merge, 1000, 0.000122, 3
serial merge, 1000, 0.000189, 3
mpi enum, 1000, 0.000393, 3
serial enum, 1000, 0.003827, 3
mpi quick, 1000, 0.000418, 5
serial quick, 1000, 0.000109, 5
mpi merge, 1000, 0.000271, 5
serial merge, 1000, 0.000188, 5
mpi enum, 1000, 0.000293, 5
serial enum, 1000, 0.003711, 5
mpi quick, 1000, 0.000386, 7
serial quick, 1000, 0.000181, 7
mpi merge, 1000, 0.000397, 7
serial merge, 1000, 0.000185, 7
mpi enum, 1000, 0.000399, 7
serial enum, 1000, 0.003736, 7
mpi quick, 5000, 0.001095, 3
serial quick, 5000, 0.000577, 3
mpi merge, 5000, 0.000450, 3
serial merge, 5000, 0.001077, 3
mpi enum, 5000, 0.011951, 3
serial enum, 5000, 0.115366, 3
mpi quick, 5000, 0.000563, 1
serial quick, 5000, 0.000560, 1
mpi merge, 5000, 0.001054, 1
serial merge, 5000, 0.001026, 1
mpi enum, 5000, 0.110595, 1
serial enum, 5000, 0.110191, 1
mpi quick, 5000, 0.001588, 6
serial quick, 5000, 0.000580, 6
mpi merge, 5000, 0.000705, 6
serial merge, 5000, 0.002271, 6
mpi enum, 5000, 0.004899, 6
serial enum, 5000, 0.115763, 6
mpi quick, 5000, 0.001742, 7
serial quick, 5000, 0.000577, 7
mpi merge, 5000, 0.000815, 7
serial merge, 5000, 0.002369, 7
mpi enum, 5000, 0.003470, 7
serial enum, 5000, 0.117036, 7
mpi quick, 5000, 0.002266, 8
serial quick, 5000, 0.000588, 8
mpi merge, 5000, 0.000845, 8
serial merge, 5000, 0.001048, 8
mpi enum, 5000, 0.003082, 8
serial enum, 5000, 0.116879, 8
mpi quick, 10000, 0.001178, 1
serial quick, 10000, 0.001210, 1
mpi merge, 10000, 0.002197, 1
serial merge, 10000, 0.002351, 1
mpi enum, 10000, 0.452080, 1
serial enum, 10000, 0.453432, 1
mpi quick, 10000, 0.001406, 2
serial quick, 10000, 0.001223, 2
mpi merge, 10000, 0.001342, 2
serial merge, 10000, 0.002344, 2
mpi enum, 10000, 0.114081, 2
serial enum, 10000, 0.468606, 2
mpi quick, 10000, 0.001881, 4
serial quick, 10000, 0.001234, 4
mpi merge, 10000, 0.000852, 4
serial merge, 10000, 0.002311, 4
mpi enum, 10000, 0.028091, 4
serial enum, 10000, 0.473124, 4
mpi quick, 10000, 0.009643, 5
serial quick, 10000, 0.001231, 5
mpi merge, 10000, 0.002592, 5
