sorting_algorithm, array_size, run_time, num_of_process, num_of_thread
mpi_openmp_quick, 10000000, 1.973068, 1, 1
mpi_openmp_merge, 10000000, 3.112205, 1, 1
mpi_openmp_quick, 10000000, 1.974512, 1, 2
mpi_openmp_merge, 10000000, 3.115610, 1, 2
mpi_openmp_quick, 10000000, 1.959080, 1, 3
mpi_openmp_merge, 10000000, 3.038377, 1, 3
mpi_openmp_quick, 10000000, 2.010075, 1, 4
mpi_openmp_merge, 10000000, 3.055694, 1, 4
mpi_openmp_quick, 10000000, 1.944641, 1, 5
mpi_openmp_merge, 10000000, 3.021390, 1, 5
mpi_openmp_quick, 10000000, 1.955853, 1, 6
mpi_openmp_merge, 10000000, 2.962855, 1, 6
mpi_openmp_quick, 10000000, 1.962219, 1, 7
mpi_openmp_merge, 10000000, 3.003171, 1, 7
mpi_openmp_quick, 10000000, 1.967038, 1, 8
mpi_openmp_merge, 10000000, 3.032065, 1, 8
mpi_openmp_quick, 10000000, 1.107479, 2, 1
mpi_openmp_merge, 10000000, 1.642232, 2, 1
mpi_openmp_quick, 10000000, 1.123078, 2, 2
mpi_openmp_merge, 10000000, 1.677282, 2, 2
mpi_openmp_quick, 10000000, 1.121292, 2, 3
mpi_openmp_merge, 10000000, 1.636239, 2, 3
mpi_openmp_quick, 10000000, 1.118554, 2, 4
mpi_openmp_merge, 10000000, 1.632852, 2, 4
mpi_openmp_quick, 10000000, 1.110204, 2, 5
mpi_openmp_merge, 10000000, 1.661985, 2, 5
mpi_openmp_quick, 10000000, 1.120912, 2, 6
mpi_openmp_merge, 10000000, 1.652298, 2, 6
mpi_openmp_quick, 10000000, 1.120650, 2, 7
mpi_openmp_merge, 10000000, 1.649201, 2, 7
mpi_openmp_quick, 10000000, 1.115030, 2, 8
mpi_openmp_merge, 10000000, 1.643384, 2, 8
mpi_openmp_quick, 10000000, 0.865357, 3, 1
mpi_openmp_merge, 10000000, 1.284690, 3, 1
mpi_openmp_quick, 10000000, 0.876879, 3, 2
mpi_openmp_merge, 10000000, 1.253502, 3, 2
mpi_openmp_quick, 10000000, 0.880698, 3, 3
mpi_openmp_merge, 10000000, 1.285956, 3, 3
mpi_openmp_quick, 10000000, 0.868327, 3, 4
mpi_openmp_merge, 10000000, 1.399091, 3, 4
mpi_openmp_quick, 10000000, 0.867848, 3, 5
mpi_openmp_merge, 10000000, 1.243282, 3, 5
mpi_openmp_quick, 10000000, 0.862402, 3, 6
mpi_openmp_merge, 10000000, 1.239217, 3, 6
mpi_openmp_quick, 10000000, 0.875848, 3, 7
mpi_openmp_merge, 10000000, 1.242134, 3, 7
mpi_openmp_quick, 10000000, 0.873328, 3, 8
mpi_openmp_merge, 10000000, 1.237695, 3, 8
mpi_openmp_quick, 10000000, 0.701807, 4, 1
mpi_openmp_merge, 10000000, 0.998387, 4, 1
mpi_openmp_quick, 10000000, 0.727034, 4, 2
mpi_openmp_merge, 10000000, 0.988379, 4, 2
mpi_openmp_quick, 10000000, 0.710300, 4, 3
mpi_openmp_merge, 10000000, 0.983770, 4, 3
mpi_openmp_quick, 10000000, 0.698916, 4, 4
mpi_openmp_merge, 10000000, 1.033488, 4, 4
mpi_openmp_quick, 10000000, 0.702099, 4, 5
mpi_openmp_merge, 10000000, 0.997393, 4, 5
